name,educationcenterid,curriculum,grades_years,students,school_rating,location
Al Adab Iranian Private School for Boys,109,Iranian,KG2-G12,216,Good,Al Qusais
Al Adab Iranian Private School for Girls,110,Iranian,KG2-G12,173,Acceptable,Al Qusais
Al Arqm Private School,12,Ministry of Education,KG1-G12,603,Acceptable,Al Barsha 1
Al Basateen Private Nursery,15,Ministry of Education,KG1-KG2,76,Good,Al Khawaneej 1
Al Basateen Private Nursery Hatta branch,117,Ministry of Education,KG1-KG2,82,Good,Hatta
Al Diyafah High School,59,UK,FS2-Y13,1589,Good,Al Nahda 2
Al Eman Educational Est ( Al Eman private School ),5,Ministry of Education,KG1-G9,378,Acceptable,Al Rashidiya
Al Ghaf Primary School,500819,UK,FS1-Y6,102,Not yet inspected,Jebel Ali
Al Ittihad Private school,21,American,Pre primary-G12,1685,Good,Al Mamzar
Al Ittihad Private School (BR),22,American,Pre primary-G12,2384,Good,Al Safa 1
Al Maaref Private School (LLC),23,American,KG1-G12,1001,Acceptable,Al Qusais
AL MAWAKEB SCHOOL - AL BARSHA,20,American,KG1-G12,3015,Good,Al Barsha 2
AL MAWAKEB SCHOOL - AL GARHOUD,19,American,KG1-G12,2360,Good,Al Garhoud
Al Mawakeb School Al Khawaneej ,151988,American,Pre primary-G12,765,Not yet inspected,Al Mizhar 1
Al Nibras International private School,126,American,KG1-G12,1005,Acceptable,Dubai Investment Park
Al Rashid Al Saleh Private School,10,Ministry of Education,KG1-G12,2471,Good,Oud Metha
Al Sadiq Islamic English School,68,UK,FS2-Y11,1710,Acceptable,Al Qusais
Al Salam Community School,152894,UK,FS1-Y13,983,Not yet inspected,Al Twar 2
Al Salam Private School,43,UK,FS1-Y6,1044,Good,Al Nahda 2
Al Shurooq Private School,3,Ministry of Education,KG1-G12,1686,Acceptable,Jumeirah 1
Ambassador International Academy,500721,UK/IB,Pre primary-G6,372,Not yet inspected,Al Quoz 2
Ambassador Kindergarten,880,Indian,Pre primary-KG2,332,Very Good,Al Mankhool
Ambassador School,401,Indian,G1-G12,886,Very Good,Al Mankhool
American Academy for Girls,130,American,KG1-G12,488,Not inspected due to Covid 19,Al Mizhar 1
American International School,32,American,KG1-G12,2314,Acceptable,Al Qusais
American School of Creative Science,15159,American,KG1-G7,255,Acceptable,Nad Al Sheba
American School of Dubai,34,American,Pre primary-G12,1829,Good,Al Barsha 2
Amity School L.L.C,152457,Indian,Pre primary-G7,649,Acceptable,Al Qusais
AMLED SCHOOL,14473,Indian,Pre primary-G8,529,Good,Al Quoz 4
Apple International School,52,UK,FS1-Y11,2183,Good,Al Qusais
Arab Unity School,44,UK,FS2-Y13,3106,Acceptable,Al Mizhar 1
Arcadia High School,152742,UK,Y7,4,Not yet inspected,Jumeirah Village Triangle
Arcadia School,151820,UK,FS1-Y6,428,Good,Jumeirah Village Triangle
Bilva Indian School,1687,Indian,Pre primary-G10,604,Good,Al Qusais
BRIGHT LEARNERS PRIVATE SCHOOL,500607,American,Pre primary-G4,24,Not yet inspected,Al Rashidiya
Bright Riders School,152711,Indian,KG1-G7,190,Not yet inspected,Dubai Investment Park
Brighton College Dubai,152035,UK,FS1-Y11,352,Not yet inspected,Al Barsha 2
Buds Public School,87,Indian,KG1-G12,323,Acceptable,Al Muhaisnah 1
Cambridge International School,48,UK,FS1-Y13,2577,Good,Al Twar 1
CAPITAL SCHOOL,2149,UK,FS1-Y9,678,Not inspected due to Covid 19,Al Qusais
Chinese School Dubai,501256,Chinese,G1-G5,102,Not yet inspected,Mirdif
Clarion School,15083,American,Pre primary-G5,214,Good,Al Quoz 1
Collegiate American School,643,American,Pre primary-G12,247,Good,Umm Suqueim 3
CREDENCE HIGH SCHOOL,1604,Indian,Pre-primary-G11,766,Good,Al Quoz 1
Crescent English School,80,Indian,KG1-G12,1242,Acceptable,Al Qusais
Dar Al Marefa School,266,International Baccalaureate,Pre primary-G12,840,Not inspected due to Covid 19,Al Khawaneej 1
Deira International School,124,UK/IB,FS1-Y13,1656,Very Good,Dubai Fesitval City
Deira Private School,339,UK,FS2-Y6,153,Acceptable,Al Twar 1
Delhi Private School,112,Indian,KG1-G12,3856,Very Good,Jebel Ali
DEWA Academy,15002,Ministry of Education/BTEC,G10-G12,186,Not inspected due to Covid 19,Al Hudaiba
Dove Green Private School,2248,UK,FS1-Y7,399,Good,Dubai Investment Park
Dubai Arabian American Private School,138,American,KG1-G12,497,Not inspected due to Covid 19,Al Muhaisnah 1
Dubai British School,134,UK,Pre primary-Y13,1159,Outstanding,Emirates Hills
Dubai British School Jumeirah Park,14564,UK,Y1-Y12,1244,Very Good,Jumeirah Islands
Dubai Carmel School,39,UK,FS2-Y13,422,Acceptable,Al Qusais
Dubai College,70,UK,Y9-Y13,1035,Outstanding,Al Sufouh 1
Dubai English Speaking private college -branch,357,UK,Y9-Y13,1737,Outstanding,Academic City
Dubai English Speaking School,50,UK,FS1-Y6,1013,Outstanding,Zabeel 1
Dubai Gem Private School,65,UK,FS1-Y13,1167,Good,Oud Metha
Dubai Heights Academy,152197,UK,FS1-Y7,168,Not inspected due to Covid 19,Al Barsha 2
Dubai International Academy,129,International Baccalaureate,KG1-G13,2349,Very Good,Emirates Hills
Dubai International Academy Al Barsha,500005,International Baccalaureate,Pre primary-G12,838,Not yet inspected,Al Barsha 1
Dubai International private School,25,American,KG1-G12,812,Not inspected due to Covid 19,Al Garhoud
Dubai International private School - BR,26,American,KG1-G12,1874,Acceptable,Al Quoz 1
Dubai Modern Education School,18,Minstry of Education/ American,KG1-G12,1702,Not inspected due to Covid 19,Al Mizhar 1
Dubai National School,28,American,KG1-G12,2543,Good,Al Barsha 1
Dubai National School ( Branch),27,American,Pre primary-G12,1327,Good,Al Twar 1
Dubai Scholars Private School,66,UK,FS1-Y13,1948,Good,Al Qusais
Dunecrest American School,152311,American,Pre primary-G12,347,Not yet inspected,Wadi Al Safa 3
Dwight School LLC,152031,International Baccalaureate,Pre primary-G11,348,Not yet inspected,Al Barsha 2
Elite English School,76,Indian,KG1-G12,1732,Acceptable,Deira
Emirates International private School L.L.C,103,UK/IB,FS1-Y13,1855,Good,Umm Suqueim 1
Emirates International School (Meadows),133,International Baccalaureate,KG1-G13,1621,Very Good,Meadows
English Language Private School,53,UK,FS2-Y13,1643,Acceptable,Umm Hurair
Fairgreen International School,152361,International Baccalaureate,Pre primary-G10,437,Not yet inspected,Dubai Land
Foremarke School,1441,UK,FS1-Y8,508,Very Good,Dubai Land
GEMS Al Barsha National School,152733,American,FS1-Y12,936,Not inspected due to Covid 19,Al Barsha 2
GEMS Al Khaleej National School,29,American,KG1-G12,1998,Good,Al Garhoud
GEMS Dubai American Academy,33,American,KG1-G12,2502,Outstanding,Barsha South
GEMS FirstPoint School,2261,UK,FS1-Y13,1404,Good,Dubai Land
GEMS Founders School,14568,UK,FS1-Y13,4237,Good,Al Barsha 2
GEMS Founders School - Mizhar,151816,UK,FS1-Y10,2171,Not yet inspected,Al Mizhar 1
GEMS Heritage Indian School (Br of GEMS Wellington Academy FZE) - Dubai Branch,14626,Indian,Pre primary-G10,424,Good,Dubai Land
GEMS International School- Al Khail,1477,International Baccalaureate,Pre primary-G11,989,Good,Al Khail
GEMS Jumeirah Primary School,64,UK,FS1-Y6,1346,Outstanding,Jumeirah 3
GEMS Metropole School,2256,UK,FS1-Y13,2215,Acceptable,Motor City
GEMS Modern Academy,78,Indian/International Baccalaureate,Pre primary-G12,3627,Outstanding,Nad Al Sheba 1
GEMS New Millennium School L.L.C,1267,Indian/UK,Pre primary-G12,1413,Very Good,Al Khail
GEMS Our Own English High School,77,Indian,KG1-G12,10744,Very Good,Al Warqa'a 1
GEMS Our Own Indian School,89,Indian,KG1-G12,3823,Good,Al Quoz 1
