Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-05-15,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,430700.0,1080,399,0,Studio,False,False,12,,True,Azizi Developments,"Hotel Apartment, Unit-1222",nan
2023-05-15,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,399000.0,1003,398,0,Studio,False,False,5,,True,Azizi Developments,Unit-503,nan
2023-05-15,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,690000.0,785,879,0,1 Bed,False,False,,,True,Azizi Developments,Unit-305,nan
2023-05-15,Secondary Transaction,"Candace Acacia, Azizi Residence, Al Furjan",Apartment,797040.0,1050,759,0,1 Bed,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-406",nan
2023-12-05,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,1450400.0,699,2076,0,2 Bed,False,False,12,,True,Azizi Developments,Unit-1207,nan
2023-11-05,Secondary Transaction,"Al Fouad Building, Al Furjan",Apartment,826177.0,884,935,0,1 Bed,False,False,10,,True,Sooma Real Estate Developer,Unit-1006,nan
2023-11-05,Secondary Transaction,"Glamz by Danube, Glamz, Al Furjan",Apartment,745000.0,973,766,0,1 Bed,False,False,2,,True,Danube Properties,Unit-208,nan
2023-11-05,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,848250.0,659,1287,0,1 Bed,False,False,1,,True,Azizi Developments,Unit-105,nan
2023-11-05,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1078306.0,1208,893,0,1 Bed,False,False,,,False,,,nan
2023-11-05,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,300000.0,720,417,0,Studio,False,False,,,True,Azizi Developments,Unit-410,nan
2023-10-05,Secondary Transaction,"Glamz by Danube, Glamz, Al Furjan",Apartment,665000.0,866,768,0,1 Bed,False,False,7,,True,Danube Properties,Unit-711,nan
2023-10-05,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,936000.0,599,1563,0,1 Bed,False,False,,,True,Azizi Developments,Unit-117,nan
2023-10-05,Secondary Transaction,"Orchid, Azizi Residence, Al Furjan",Apartment,1225000.0,824,1487,0,2 Bed,False,False,9,,True,Azizi Developments,Unit-903,nan
2023-10-05,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,898000.0,1090,824,0,1 Bed,False,False,2,,True,Danube,Unit-219,nan
2023-10-05,Secondary Transaction,"Glamz by Danube, Glamz, Al Furjan",Apartment,300000.0,764,393,0,Studio,False,False,3,,True,Danube Properties,Unit-312,nan
2023-10-05,Secondary Transaction,Al Furjan,Villa,2850000.0,1048,2719,2095,4 Bed,False,False,G+1,,True,Nakheel,Villa-VILLA - 8,nan
2023-10-05,Off-plan Transaction,"AZIZI Berton, Al Furjan",Apartment,398160.0,1053,378,0,Studio,False,False,6,,True,Azizi Developments,"Hotel Apartment, Unit-602",nan
2023-09-05,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,413055.0,1040,397,0,Studio,False,False,2,,True,Azizi Developments,"Hotel Apartment, Unit-208",nan
2023-09-05,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,953018.18,1158,823,0,1 Bed,False,False,,,False,,,nan
2023-09-05,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,906501.82,1158,783,0,1 Bed,False,False,,,False,,,nan
2023-09-05,Secondary Transaction,"Candace Acacia, Azizi Residence, Al Furjan",Apartment,400000.0,984,406,0,Studio,False,False,8,,True,Azizi Developments,"Hotel Apartment, Unit-831",nan
2023-09-05,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,544600.0,891,612,0,1 Bed,False,False,5,,True,Azizi Developments,Unit-514,nan
2023-09-05,Secondary Transaction,"Avenue Residence 2, Avenue Residence, Al Furjan",Apartment,1585000.0,785,2019,0,3 Bed,False,False,8,,True,Al Jaziri Brothers,Unit-808,nan
2023-08-05,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,942711.0,1180,799,0,1 Bed,False,False,,,False,,,nan
2023-08-05,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,390000.0,984,396,0,Studio,False,False,4,,True,Azizi Developments,Unit-416,nan
2023-05-05,Secondary Transaction,"Tulip, Azizi Residence, Al Furjan",Apartment,1190000.0,793,1500,0,2 Bed,False,False,7,,True,Azizi Developments,Unit-710,nan
