Transaction Type,Subtype,Sales Sequence,No,Date,Community,Property,Property Type,Unit,Bedrooms,Floor,Parking,Balcony Area,Size (Sqf),Land Size,Amount (AED),AED/Sqf,Developer
Sales - Ready,Delayed Sell,Primary,41-10218-2023,31-05-2023,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,,0 B/R,,EU,,398.81,,1969000.0,4937.24,The First Group
Sales - Ready,Sale,Primary,11-15882-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,202,2 B/R,2,B1-21,592.02,1901.03,,1721500.0,905.56,Mismak Properties
Sales - Ready,Sale,Primary,11-15885-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,204,2 B/R,2,B1-27,592.02,1889.08,,1608300.0,851.37,Mismak Properties
Sales - Ready,Sale,Primary,11-15891-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,205,2 B/R,2,B1-28,592.02,1889.08,,1653600.0,875.35,Mismak Properties
Sales - Ready,Sale,Primary,11-15897-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,304,2 B/R,3,B2-4,657.03,1977.02,,1676200.0,847.84,Mismak Properties
Sales - Ready,Sale,Primary,11-15907-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,501,2 B/R,5,B2-13,234.98,1546.14,,1420000.0,918.42,Mismak Properties
Sales - Ready,Sale,Primary,11-15904-2023,25-05-2023,Dubai Marina,Opal Marina Tower,Apartment,506,1 B/R,5,B2-18,162.0,1064.13,,1002300.0,941.9,Mismak Properties
Sales - Ready,Sale,Primary,11-15815-2023,24-05-2023,Dubai Marina,Opal Marina Tower,Apartment,101,2 B/R,1,B1-18,591.05,1898.66,,1721500.0,906.69,Mismak Properties
Sales - Ready,Sale,Primary,11-15848-2023,24-05-2023,Dubai Marina,Opal Marina Tower,Apartment,102,2 B/R,1,B1-19,591.05,1950.11,,1766800.0,906.0,Mismak Properties
Sales - Ready,Sale,Primary,11-15855-2023,24-05-2023,Dubai Marina,Opal Marina Tower,Apartment,201,2 B/R,2,B1-20,592.02,1901.03,,1721500.0,905.56,Mismak Properties
Sales - Ready,Delayed Sell,Primary,41-9245-2023,17-05-2023,Dubai Marina,Marina Arcade Tower,Apartment,2204,2 B/R,,UB-83,161.03,1598.67,,2271000.0,1420.56,Marina Arcade Real Estate LLC
Sales - Ready,Sale,Primary,11-14685-2023,16-05-2023,Dubai Marina,Marina Arcade Tower,Apartment,3002,2 B/R,,LB-71,124.22,1639.14,,2495850.0,1522.66,Marina Arcade Real Estate LLC
Sales - Ready,Sale,Primary,11-14712-2023,16-05-2023,Jumeirah Beach Residence,Bahar 2,Apartment,2502,4 B/R,25,"M-099, M-126",295.69,3005.95,,2600000.0,864.95,Dubai Properties
Sales - Ready,Sale,Primary,11-13837-2023,09-05-2023,Dubai Marina,Continental Tower,Apartment,2303,2 B/R,23,B2-35,172.01,1291.57,,1990000.0,1540.76,Dubai Continental Investment Group
Sales - Ready,Sale,Primary,11-13229-2023,04-05-2023,Dubai Marina,Opal Marina Tower,Apartment,2806,1 B/R,28,B3-79,181.05,1083.07,,1049400.0,968.91,Mismak Properties
Sales - Ready,Delayed Sell,Primary,41-8187-2023,02-05-2023,Dubai Marina,Marina Arcade Tower,Apartment,3101,3 B/R,,"LB-34, LB-66",154.46,2410.06,,3416000.0,1417.39,Marina Arcade Real Estate LLC
Sales - Ready,Sale,Primary,11-12789-2023,02-05-2023,Dubai Marina,Opal Marina Tower,Apartment,1003,1 B/R,10,B2-45,162.0,1064.13,,897750.0,843.65,Mismak Properties
Sales - Ready,Sale,Primary,11-12739-2023,02-05-2023,Dubai Marina,Opal Marina Tower,Apartment,1005,2 B/R,10,B2-47,234.98,1536.35,,1308340.0,851.59,Mismak Properties
