price,type,bathroom,size,location
1000000.0,Penthouse,5.0,2813.0,"Vida Residence Downtown, Downtown Dubai, Dubai"
75000.0,Apartment,2.0,954.0,"Eastern Mangroves Promenade, Eastern Road, Abu Dhabi"
59500.0,Apartment,2.0,850.0,"The ARC, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
205000.0,Townhouse,5.0,2724.0,"Luluat Al Raha, Al Raha Beach, Abu Dhabi"
30000.0,Apartment,2.0,1080.0,"Al Fardan Centre, Al Majaz 3, Al Majaz, Sharjah"
60000.0,Apartment,3.0,2314.0,"Al Maqtaa village, Al Maqtaa, Abu Dhabi"
65000.0,Apartment,2.0,915.0,"Luluat Al Raha, Al Raha Beach, Abu Dhabi"
39950.0,Apartment,3.0,1243.0,"Royal breeze 2, Royal Breeze, Al Hamra Village, Ras Al Khaimah"
70000.0,Villa,5.0,6232.0,"Al Uraibi, Ras Al Khaimah"
84000.0,Hotel &amp; Hotel Apartment,2.0,680.0,"Dalma Residence, Hamdan Street, Abu Dhabi"
77000.0,Villa,3.0,2637.0,"Al Oyoun Village, Al Ain"
88000.0,Apartment,3.0,2100.0,"Siraj Tower, Arjan, Dubai"
42000.0,Apartment,2.0,1052.0,"Al Rabia Tower, Majan, Dubai"
67000.0,Apartment,2.0,1449.0,"Siraj Tower, Arjan, Dubai"
70000.0,Duplex,5.0,3000.0,"Al Ameriya, Al Jimi, Al Ain"
58000.0,Apartment,2.0,1103.0,"Al Muhairy Centre, Al Khalidiya, Abu Dhabi"
34000.0,Apartment,2.0,1050.0,"Lagoon B3, The Lagoons, Mina Al Arab, Ras Al Khaimah"
77920.0,Apartment,3.0,1250.0,"The Gate Tower 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
77000.0,Villa,3.0,2637.0,"Al Oyoun Village, Al Ain"
55000.0,Apartment,1.0,619.0,"Eastern Mangroves Promenade, Eastern Road, Abu Dhabi"
47000.0,Apartment,4.0,1800.0,"Al Ameriya, Al Jimi, Al Ain"
39000.0,Apartment,2.0,1476.0,"Frij Al Murar, Al Ras, Deira, Dubai"
20000.0,Apartment,1.0,274.0,"Al Fahidi Street, Al Souk Al Kabeer, Bur Dubai, Dubai"
75000.0,Villa,7.0,3200.0,"Al Mwaihat 3, Al Mwaihat, Ajman"
150000.0,Villa,3.0,100.0,"Al Mataf, Ras Al Khaimah"
28000.0,Apartment,1.0,400.0,"Nova Tower, Dubai Silicon Oasis, Dubai"
22000.0,Apartment,1.0,999.0,"Muwaileh 3 Building, Muwaileh, Sharjah"
,Apartment,4.0,2312.0,"Alia Tower, Corniche Road, Abu Dhabi"
42000.0,Apartment,2.0,1053.0,"Al Rabia Tower, Majan, Dubai"
77000.0,Apartment,2.0,970.0,"Rawdhat, Airport Road, Abu Dhabi"
110000.0,Apartment,4.0,1512.0,"Rawdhat, Airport Road, Abu Dhabi"
19000.0,Apartment,2.0,484.0,"Al Naseriya, Al Sharq, Sharjah"
55000.0,Apartment,3.0,997.0,"The Lark Building, Al Warqa'a 1, Al Warqa'a, Dubai"
28000.0,Apartment,2.0,742.0,"Frij Al Murar, Al Ras, Deira, Dubai"
70000.0,Apartment,2.0,1400.0,"Manara Tower, Al Khalidiya, Abu Dhabi"
56000.0,Apartment,2.0,826.0,"Reef Residence, District 13, Jumeirah Village Circle, Dubai"
35999.0,Apartment,1.0,560.0,"The Bridge, Dubai Sports City, Dubai"
144000.0,Apartment,2.0,791.0,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
239499.0,Apartment,4.0,1929.0,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
110000.0,Apartment,2.0,1199.0,"Wilton Terraces 1, Mohammed Bin Rashid City, Dubai"
195000.0,Apartment,3.0,2336.0,"Park Place Tower, Sheikh Zayed Road, Dubai"
85000.0,Apartment,1.0,800.0,"Etihad Tower 4, Etihad Towers, Corniche Road, Abu Dhabi"
230000.0,Apartment,4.0,2414.0,"Golden Mile 10, Golden Mile, Palm Jumeirah, Dubai"
125000.0,Villa,3.0,1969.0,"Camelia 2, Camelia, Arabian Ranches 2, Dubai"
165000.0,Apartment,3.0,2006.0,"Princess Tower, Dubai Marina, Dubai"
275000.0,Apartment,2.0,1183.0,"Armani Residence, Burj Khalifa Area, Downtown Dubai, Dubai"
35000.0,Apartment,1.0,725.0,"National Bonds Oasis, Dubai Silicon Oasis, Dubai"
66000.0,Apartment,4.0,2263.0,"Julphar Residential Tower, Julphar Towers, Al Nakheel, Ras Al Khaimah"
38000.0,Apartment,1.0,554.0,"Eden Apartments, Motor City, Dubai"
35000.0,Apartment,1.0,742.0,"National Bonds Oasis, Dubai Silicon Oasis, Dubai"
36000.0,Apartment,1.0,736.0,"National Bonds Oasis, Dubai Silicon Oasis, Dubai"
16000.0,Apartment,1.0,431.0,"Cornich Ras Al Khaima, Ras Al Khaimah"
14000.0,Apartment,1.0,500.0,"Al Turfa, Ras Al Khaimah"
,Apartment,3.0,2258.0,"Corniche Residence, Corniche Road, Abu Dhabi"
60000.0,Apartment,2.0,805.0,"Carson, The Drive, DAMAC Hills, Dubai"
16000.0,Apartment,1.0,501.0,"Dafan Al Nakheel, Ras Al Khaimah"
35000.0,Apartment,1.0,339.0,"Carson, The Drive, DAMAC Hills, Dubai"
36999.0,Apartment,1.0,600.0,"Al Saada Street, Al Mushrif, Abu Dhabi"
105000.0,Townhouse,4.0,2130.0,"Sama Townhouses, Town Square, Dubai"
265000.0,Apartment,4.0,1742.0,"5242, Dubai Marina, Dubai"
80000.0,Apartment,2.0,839.0,"Wilton Terraces 1, Mohammed Bin Rashid City, Dubai"
85000.0,Apartment,2.0,881.0,"A1, The Hills A, The Hills, Dubai"
250000.0,Apartment,4.0,1775.0,"5242, Dubai Marina, Dubai"
105000.0,Townhouse,4.0,1980.0,"Noor Townhouses, Town Square, Dubai"
,Apartment,3.0,1602.0,"Golden Sands 14, Mankhool, Bur Dubai, Dubai"
170000.0,Villa,5.0,1950.0,"Reem Community, Arabian Ranches 2, Dubai"
125000.0,Townhouse,4.0,1507.0,"Camelia 2, Camelia, Arabian Ranches 2, Dubai"
53000.0,Apartment,2.0,492.0,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
69000.0,Apartment,2.0,493.0,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
29999.0,Apartment,1.0,696.0,"Royal Breeze 5, Royal Breeze, Al Hamra Village, Ras Al Khaimah"
175000.0,Apartment,4.0,1948.0,"The Flagship Two, Al Satwa, Dubai"
95000.0,Apartment,2.0,1004.0,"The Flagship Two, Al Satwa, Dubai"
75000.0,Apartment,2.0,954.0,"Eastern Mangroves Promenade, Eastern Road, Abu Dhabi"
59500.0,Apartment,2.0,850.0,"The ARC, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
205000.0,Townhouse,5.0,2724.0,"Luluat Al Raha, Al Raha Beach, Abu Dhabi"
30000.0,Apartment,2.0,1080.0,"Al Fardan Centre, Al Majaz 3, Al Majaz, Sharjah"
37999.0,Apartment,1.0,630.0,"The Bridge, Dubai Sports City, Dubai"
210000.0,Apartment,3.0,1195.0,"Downtown Views, Downtown Dubai, Dubai"
24999.0,Apartment,1.0,380.0,"The Spirit, Dubai Sports City, Dubai"
27999.0,Apartment,1.0,410.0,"The Spirit, Dubai Sports City, Dubai"
32999.0,Apartment,1.0,590.0,"The Matrix, Dubai Sports City, Dubai"
51999.0,Apartment,2.0,850.0,"The Diamond, Dubai Sports City, Dubai"
45499.0,Apartment,2.0,950.0,"The Matrix, Dubai Sports City, Dubai"
48000.0,Apartment,2.0,757.0,"Binghatti Gate, Jumeirah Village Circle, Dubai"
33000.0,Apartment,2.0,772.0,"Jade Residence, Dubai Silicon Oasis, Dubai"
310000.0,Villa,3.0,2932.0,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
,Apartment,4.0,2611.0,"Kamala Tower, Al Khalidiya, Abu Dhabi"
36999.0,Apartment,1.0,600.0,"Al Qubaisat, Al Mushrif, Abu Dhabi"
70000.0,Apartment,2.0,1400.0,"Manara Tower, Al Khalidiya, Abu Dhabi"
36999.0,Apartment,1.0,600.0,"Al Saada Street, Al Mushrif, Abu Dhabi"
48000.0,Apartment,2.0,746.0,"National Bonds Plaza, Barsha Heights (Tecom), Dubai"
